Nama Outlet;tanggal_tutup;tanggal_buka;alasan
KY011 - Kebuli Yaman Bekasi Galaxy;2024-03-01;2025-07-18;tutup total, buka kembali di lokasi yang sama dengan kode KY069 (konfirmasi pemilik data 2026-08-15)
KY056 - Kebuli Yaman Tigaraksa;2024-10-01;2024-11-22;tutup sementara (konfirmasi pemilik data 2026-08-15)
Kebuli Yaman Cikarang Pusat;2025-12-01;;relokasi dari KY047 Ciomas, belum buka per akhir data (konfirmasi pemilik data 2026-08-15)
Kebuli Yaman Cadas;2025-09-29;2025-10-03;masa serah-terima relokasi dari KY046 Aryana Karawaci (turunan audit 2026-08-15: kode lama berhenti 2025-09-28, kode baru KY070 mulai 2025-10-03)
Kebuli Yaman Citayam;2025-10-31;2025-11-07;masa serah-terima relokasi dari KY055 Ciputat Timur (turunan audit 2026-08-15: kode lama berhenti 2025-10-30, kode baru KY071 mulai 2025-11-07)
Kebuli Yaman Bintara;2025-11-27;2025-11-28;masa serah-terima relokasi dari KY029 Cinere (turunan audit 2026-08-15: kode lama berhenti 2025-11-26, kode baru KY072 mulai 2025-11-28)
