old_name;new_name;Alamat;Kecamatan;Kota;has_shopee;has_gofood;has_grabfood;kawasan;hari_pengiriman
Kebuli Yaman Cikarang Pusat;Kebuli Yaman Cikarang Pusat;Jl. Tarum Barat Raya No.11, Cikarang, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530;Cikarang Pusat;Kabupaten Bekasi;No;No;No;2;Selasa dan Jumat
KY003 - Kebuli Yaman Serang;KY003 - Kebuli Yaman Serang;Jl. Yusuf Martadilaga Serang No.32a, Cipare, Kec. Serang, Kota Serang, Banten 42117;Serang;Kota Serang;Yes;Yes;Yes;1;Senin dan Kamis
KY040 - Kebuli Yaman Anyer;KY040 - Kebuli Yaman Anyer;Jl. Raya Anyer-sirih No.99, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166;Anyar;Kabupaten Serang;No;Yes;No;1;Senin dan Kamis
KY058 - Kebuli Yaman Cikande;KY058 - Kebuli Yaman Cikande;Jl. Cikande Permai Blok E 1 No 4-5, Situterate, Kec. Cikande, Kabupaten Serang, Banten 42186;Cikande;Kabupaten Serang;No;Yes;Yes;1;Senin dan Kamis
KY068 - Kebuli Yaman Kramatwatu;KY068 - Kebuli Yaman Kramatwatu;Jl. Waringin Kurung No.1, Kramatwatu, Kec. Kramatwatu, Kab. Serang, Banten 42161;Kramatwatu;Kabupaten Serang;Yes;Yes;Yes;1;Senin dan Kamis
KY005 - Kebuli Yaman Pandeglang;KY005 - Kebuli Yaman Pandeglang;Jl. Jenderal Ahmad Yani No. 46 Pandeglang, Kecamatan Pandeglang, Kabupaten Pandeglang Banten. 42211;Pandeglang;Pandeglang;Yes;Yes;No;1;Senin dan Kamis
KY002 - Kebuli Yaman Cilegon;KY002 - Kebuli Yaman Cilegon;Jl. Nuri Raya No. 11 (Bunderan Perumnas Cibeber) Cilegon Banten;Cilegon;Cilegon;Yes;Yes;Yes;1;Senin dan Kamis
KY013 - Kebuli Yaman Cileunyi;KY013 - Kebuli Yaman Cileunyi;Jl. Raya Tagog cinunuk No.200 Desa cimekar Kec. Cileunyi, Bandung Jawa Barat 40623;Cileunyi;Kabupaten Bandung;Yes;Yes;Yes;2;Selasa dan Jumat
KY014 - Kebuli Yaman Ciparay;KY014 - Kebuli Yaman Ciparay;RUKO POINT REGENCY Jl. Raya Laswi, bumi wangi Kec. Ciparay Bandung Jawa Barat 40381;Ciparay;Kabupaten Bandung;Yes;Yes;Yes;2;Selasa dan Jumat
Kebuli Yaman Citayam;Kebuli Yaman Citayam;Pd. Jaya, Kec. Cipayung, Kota Depok, Jawa Barat;Cipayung;Kota Depok;No;Yes;Yes;2;Selasa dan Jumat
Kebuli Yaman Grand Wisata Bekasi;Kebuli Yaman Grand Wisata Bekasi;RT.006/RW.012, Mustikajaya, Kec. Mustika Jaya, Kota Bks, Jawa Barat 17158;Mustika Jaya;Kota Bekasi;No;Yes;No;2;Selasa dan Jumat
Kebuli Yaman Bintara;Kebuli Yaman Bintara;Jl. Bintara No.11, RT.003/RW.013, Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17134;Bekasi Barat;Kota Bekasi;No;Yes;No;2;Selasa dan Jumat
