Nama Outlet;Alamat;Kecamatan;Kota;has_shopee;has_gofood;has_grabfood
Kebuli Yaman Sentraland Parung Panjang;Ruko Sentraland Paradise No. 23, Kabasiran, Kecamatan Parung Panjang, Kabupaten Bogor, Jawa Barat 1636;Parung Panjang;Kabupaten Bogor;No;No;No
Kebuli Yaman Mayor Oking;Jl. Raya Mayor Oking Jaya Atmaja, Cirimekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16917;Cibinong;Kabupaten Bogor;No;Yes;No
KY004 - Kebuli Yaman Depok Sawangan;Jl. Muchtar Raya RT 001 RT 003 No. 35 (Depan Botani Lake) Sawangan Depok Jawa Barat. 16519;Sawangan;Kota Depok;Yes;Yes;Yes
KY006 - Kebuli Yaman Depok Sentosa;Jl. Sentosa Raya No. 22 Mekar Jaya, Kecamatan Sukmajaya, Kota Depok Jawa Barat. 16411;Sukmajaya;Kota Depok;Yes;Yes;Yes
KY008 - Kebuli Yaman Depok Kelapa Dua;Jl. Raya Akses UI No. 67 Tugu, Cimanggis, Kota Depok Jawa Barat. 16451;Cimanggis;Kota Depok;Yes;Yes;Yes
KY029 - Kebuli Yaman Cinere;Jl. Cinere Raya No.4 Ruko Blok M, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16512;Cinere;Kota Depok;Yes;Yes;Yes
KY001 - Kebuli Yaman Kutabumi (Pusat);jl.Raya Regensi II Blok FA 02 No.6 Gelam Jaya , Pasar Kemis;Jatiuwung;Banten;Yes;Yes;Yes
KY019 - Kebuli Yaman Ciledug;Jl. KH Hasyim Ashari No.85, RT.004/RW.002, Pinang, Kec. Pinang, Kota Tangerang, Banten 15145;Pinang;Kota Tangerang;Yes;Yes;Yes
KY022 - Kebuli Yaman Citra Raya;Jl. Citra Raya Boulevard Rukp Melia Street Blok. X01 No.09 Mekar Bakti,Kec. Panongan, Kab.Tangerang, Banten 15710;Panongan;Kabupaten Tangerang;Yes;Yes;Yes
KY026 - Kebuli Yaman Poris;Jl. Ruko Poris Paradise No.27 Blok B11,RT.004/RW.003, Poris Gaga,Kec. Batuceper,Kota Tangerang,Banten 15122;Batuceper;Kota Tangerang;Yes;Yes;Yes
KY031 - Kebuli Yaman Perum;Jln Prambanan Raya no. 32.Rt 007/ 009, Kel. Cibodas Baru, Kec Cibodas, Perum - Nas II, Kota Tangerang, Banten 15138;Cibodas;Kota Tangerang;Yes;Yes;Yes
KY032 - Kebuli Yaman Kelapa Dua Karawaci;Klp. Dua, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten;Kelapa Dua;Kabupaten Tangerang;Yes;Yes;Yes
KY038 - Kebuli Yaman Talaga Bestari;Perumahan Telaga Bestari, Ruko Portobello Blok G-11 Wana Kerta, Sindang Jaya, Tangerang Regency, Banten 15560;Sindang Jaya;Kabupaten Tangerang;Yes;Yes;Yes
KY041 - Kebuli Yaman Sepatan;Sepatan Residence,Blok A.1, Jln.Raya Mauk Km.11.Sepatan Tangerang.15520.;Pasar Kemis;Tangerang;Yes;Yes;Yes
KY042 - Kebuli Yaman Batavia;Ruko Grand Batavia Arcade Blok C2 No-17, Sindangsari, Kec. Pasar kemis, Kab. Tangerang, Banten 15560;Pasar Kemis;Kabupaten Tangerang;Yes;Yes;Yes
KY043 - Kebuli Yaman Taman Cibodas;Jl. Raya Taman Cibodas Blok A2 No-12B, sangiang jaya, Kec. Priok, Kota Tangerang, Banten 15132;Periuk;Kota Tangerang;Yes;Yes;Yes
KY045 - Kebuli Yaman Graha Raya;Jl. Graha Raya Bintaro No.37, Parigi Baru, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15228;Pondok Aren;Kota Tangerang Selatan;Yes;Yes;Yes
Kebuli Yaman Cadas;Jl. Raya Mauk, Karet, Kec. Sepatan, Kabupaten Tangerang, Banten 15520;Sepatan;Kabupaten Tangerang;No;No;Yes
KY048 - Kebuli Yaman Banjar Wijaya;Ruko Azores, Jl. Banjar Wijaya No.18 Blok B 18A, RT.001/RW.003, Poris Plawad Indah, Kec. Cipondoh, Kota Tangerang, Banten 15142;Cipondoh;Kota Tangerang;Yes;Yes;Yes
KY050 - Kebuli Yaman TangCity Mall;Tangerang City Mall Lt. 02 blok D 007, Jalan Jend Sudirman No.1, Babakan, RT.TangerangRT.001/RW.005, BabakanKec, Kec. Tangerang, Kota Tangerang, Banten 15118;Tangerang;Kota Tangerang;No;No;No
KY056 - Kebuli Yaman Tigaraksa;Ruko sudirman indah blok F2A no.19 Rt.03 Rw.12 kel.pasir nangka kec.tigaraksa kab.tangerang Banten;Tigaraksa;Kabupaten Tangerang;Yes;Yes;No
KY060 - Kebuli Yaman Pakuhaji;Jl. Raya Kali Baru No.1-2 , Kramat, Kecamatan Pakuhaji, Kabupaten Tangerang, Banten 15570;Pakuhaji;Kabupaten Tangerang;No;Yes;No
KY061 - Kebuli Yaman Taman Kirana;Jl. Taman Kirana Surya No. 5-6, Pasanggrahan, Kec. Solear, Kabupaten Tangerang, Banten 15730;Solear;Kabupaten Tangerang;No;Yes;Yes
KY063 - Kebuli Yaman Kedaung;Jl. Raya Gatot Soebroto No.1, RW.2, Jati Mulya, Kec. Sepatan Tim., Kabupaten Tangerang, Banten 15520;Sepatan Timur;Kabupaten Tangerang;No;Yes;Yes
KY064 - Kebuli Yaman Mutiara Garuda;Ruko Perum Komplek Perumahan Garuda No.8 Blok A1, Kp. Melayu Timur, Kec. Teluknaga, Kabupaten Tangerang, Banten 15510;Teluknaga;Kabupaten Tangerang;No;Yes;Yes
KY065 - Kebuli Yaman Sangiang;Jl. Raya Villa Tangerang Indah No.17 Blok AE1, Gebang Raya, Kec. Periuk, Kota Tangerang, Banten 15132;Periuk;Kota Tangerang;No;Yes;Yes
KY051 - kebuli Yaman TOD M1 Bandara;VJ8M+375, Jl. Marsekal Suryadarma, Selapajang Jaya, Kec. Neglasari, Kota Tangerang, Banten;Neglasari;Kota Tangerang;No;Yes;No
Kebuli Yaman Balaraja Kresek;Jl. Raya Kresek No 1-2, Merak, Kec. Sukamulya, Kabupaten Tangerang, Banten 15610;Sukamulya;Kabupaten Tangerang;No;No;No
Kebuli Yaman Bukit Gading Balaraja;Jl. Bukit Gading Balaraja No. 21-22 Blok O1, Kelurahan Cangkudu, Kecamatan Balaraja, Kabupaten Tangerang, Banten 15610.;Balaraja;Kabupaten Tangerang;No;No;No
KY011 - Kebuli Yaman Bekasi Galaxy;Jl. Taman Galaxy Raya Blok A No.14, Jaka Setia, Kec. Bekasi Selatan, Kota Bekasi, Jawa Barat 17147.;Bekasi Selatan;Kota Bekasi;No;Yes;No
KY016 - Kebuli Yaman Jatimakmur;Ruko Pesona Taman Mini No. 6, Jl. Raya Jati Makmur, Kel. Jati Makmur;Jatiasih;Jawa Barat;Yes;Yes;Yes
KY027 - Kebuli Yaman Kaliabang;Jl. Lingkar Utara No. 5 Rt/Rw : 01/06 Kel. Kaliabang Tengah Kec. Bekasi Utara Kota Bekasi;Bekasi Utara;Kota Bekasi;Yes;Yes;Yes
KY033 - Kebuli Yaman Jatiasih;JL. Raya Jati Asih No. 1 B RT.005/004 Jati Rasa, Kec. Jati Asih Kota Bekasi, Jawa Barat 1724;Jatiasih;Kota Bekasi;Yes;Yes;Yes
KY036 - Kebuli Yaman Kota Harapan Indah;Kebuli Yaman Kota Harapan Indah;Medansatria;Jawa Barat;Yes;Yes;Yes
KY037 - Kebuli Yaman Hankam;Jl. Raya Hankam No.90, RT.002/RW.005, Jatimelati, Kec. Pd. Melati, Kota Bks, Jawa Barat 17415;Pondokmelati;Kota Bekasi;Yes;Yes;No
KY057 - Kebuli Yaman Rawalumbu (Bekasi);Jl pramuka No 19 C ,kp Sepatan RT 004/Rw 002 , Kel Sepanjang Jaya , kec Rawalumbu, Bekasi Timur;Rawalumbu;Bekasi;Yes;Yes;No
Kebuli Yaman Teluk Pucung;Jl. Raya Perjuangan No.1, RT.005/RW.034, Teluk Pucung, Kecamatan Bekasi Utara, Kota Bekasi, Jawa Barat 17121;Bekasi Utara;Kota Bekasi;No;No;No
Kebuli Yaman Cikarang Pusat;Jl. Tarum Barat Raya No.11, Cikarang, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530;Cikarang Pusat;Kabupaten Bekasi;No;No;No
KY003 - Kebuli Yaman Serang;Jl. Yusuf Martadilaga Serang No.32a, Cipare, Kec. Serang, Kota Serang, Banten 42117;Serang;Kota Serang;Yes;Yes;Yes
KY040 - Kebuli Yaman Anyer;Jl. Raya Anyer-sirih No.99, Anyar, Kec. Anyar, Kabupaten Serang, Banten 42166;Anyar;Kabupaten Serang;No;Yes;No
KY058 - Kebuli Yaman Cikande;Jl. Cikande Permai Blok E 1 No 4-5, Situterate, Kec. Cikande, Kabupaten Serang, Banten 42186;Cikande;Kabupaten Serang;No;Yes;Yes
KY068 - Kebuli Yaman Kramatwatu;Jl. Waringin Kurung No.1, Kramatwatu, Kec. Kramatwatu, Kab. Serang, Banten 42161;Kramatwatu;Kabupaten Serang;Yes;Yes;Yes
KY005 - Kebuli Yaman Pandeglang;Jl. Jenderal Ahmad Yani No. 46 Pandeglang, Kecamatan Pandeglang, Kabupaten Pandeglang Banten. 42211;Pandeglang;Pandeglang;Yes;Yes;No
KY002 - Kebuli Yaman Cilegon;Jl. Nuri Raya No. 11 (Bunderan Perumnas Cibeber) Cilegon Banten;Cilegon;Cilegon;Yes;Yes;Yes
KY013 - Kebuli Yaman Cileunyi;Jl. Raya Tagog cinunuk No.200 Desa cimekar Kec. Cileunyi, Bandung Jawa Barat 40623;Cileunyi;Kabupaten Bandung;Yes;Yes;Yes
KY014 - Kebuli Yaman Ciparay;RUKO POINT REGENCY Jl. Raya Laswi, bumi wangi Kec. Ciparay Bandung Jawa Barat 40381;Ciparay;Kabupaten Bandung;Yes;Yes;Yes
Kebuli Yaman Citayam;Pd. Jaya, Kec. Cipayung, Kota Depok, Jawa Barat;Cipayung;Kota Depok;No;Yes;Yes
Kebuli Yaman Grand Wisata Bekasi;RT.006/RW.012, Mustikajaya, Kec. Mustika Jaya, Kota Bks, Jawa Barat 17158;Mustika Jaya;Kota Bekasi;No;Yes;No
Kebuli Yaman Bintara;Jl. Bintara No.11, RT.003/RW.013, Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17134;Bekasi Barat;Kota Bekasi;No;Yes;No
